Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/rest/products/search?term=[XSS_FUZZ_GET],4,4,15000.0,13768.676353499359,7648.751374999847,16803.90465399978,0.0,0.02194670111651335,0.02194670111651335,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,/rest/user/login,53,53,16000.0,15164.062725490474,2025.1822150003136,17887.387434999255,0.0,0.2907937897938019,0.2907937897938019,16000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000
POST,/rest/user/login/[SQLi_EMAIL],29,29,16000.0,14897.010942655093,2965.284560999862,17393.331686000238,0.0,0.1591135830947218,0.1591135830947218,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,/rest/user/login/[SQLi_PASSWORD],26,26,17000.0,16158.250036923095,5672.463724000409,17150.719646999278,0.0,0.14265355725733678,0.14265355725733678,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?category=[SQLi_FUZZ],4,4,16000.0,14492.226474999825,9369.326281999747,16676.3019659993,0.0,0.02194670111651335,0.02194670111651335,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?category=[SQLi_FUZZ_QUOTE],4,4,17000.0,16997.33959699961,16876.60655400032,17152.292073000353,0.0,0.02194670111651335,0.02194670111651335,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?id=[SQLi_FUZZ],8,8,16000.0,13489.23233912501,3892.9803959999845,17151.31176899922,0.0,0.0438934022330267,0.0438934022330267,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?id=[SQLi_FUZZ_QUOTE],8,8,15000.0,15160.488450249659,9485.24542099949,17104.428336999263,0.0,0.0438934022330267,0.0438934022330267,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?q=[SQLi_FUZZ],10,10,16000.0,15047.614790599982,4829.167845999109,16935.03227400106,0.0,0.05486675279128338,0.05486675279128338,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?q=[SQLi_FUZZ_QUOTE],9,9,17000.0,16574.25458588861,13345.484277999276,17106.019217999346,0.0,0.049380077512155035,0.049380077512155035,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?q=[XSS_FUZZ_GET],3,3,15392.998163999437,16123.295692666337,15392.998163999437,17563.339600999825,0.0,0.01646002583738501,0.01646002583738501,15000,15000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/search?query=[SQLi_FUZZ],4,4,17000.0,14992.290945249806,9371.096700000635,17238.626314998328,0.0,0.02194670111651335,0.02194670111651335,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?query=[SQLi_FUZZ_QUOTE],4,4,15290.806816999975,16110.539832250197,15290.806816999975,16989.935726000112,0.0,0.02194670111651335,0.02194670111651335,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/search?query=[XSS_FUZZ_GET],16,16,16000.0,14997.992462750517,2964.524488999814,17518.68780500081,0.0,0.0877868044660534,0.0877868044660534,16000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000
GET,/search?term=[XSS_FUZZ_GET],7,7,16000.0,16309.522173428248,15663.473894999697,17016.243808999207,0.0,0.038406726953898365,0.038406726953898365,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
,Aggregated,960,960,16000.0,15411.19972798433,2023.829684998418,18559.613295999952,0.0,5.267208267963204,5.267208267963204,16000,17000,17000,17000,17000,17000,18000,18000,19000,19000,19000
