Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748923152,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748923153,10,,Aggregated,0.000000,0.000000,23,37,91,91,150,170,170,170,170,170,170,12,9,21,54.47186416669562,8.809296999970684,172.1881619996566,1640.0833333333333
1748923154,20,,Aggregated,0.000000,0.000000,18,23,44,60,91,150,170,170,170,170,170,27,21,18,37.07888396298518,2.760411000053864,172.1881619996566,1586.6296296296296
1748923155,30,,Aggregated,12.000000,9.000000,18,37,60,65,87,110,170,170,170,170,170,43,32,18,36.14680118603564,2.760411000053864,172.1881619996566,1201.1162790697674
1748923156,40,,Aggregated,13.000000,10.000000,21,44,60,74,120,130,150,170,170,170,170,66,45,21,41.23090533338461,1.9820800007437356,172.1881619996566,1538.2272727272727
1748923157,50,,Aggregated,14.000000,10.333333,27,48,74,87,130,160,200,230,230,230,230,98,63,23,48.35432877551247,1.9820800007437356,228.83271699993202,1498.1632653061224
1748923158,60,,Aggregated,16.250000,11.000000,21,44,62,77,120,150,170,200,230,230,230,126,83,21,43.45650869841155,1.9820800007437356,228.83271699993202,1472.5873015873017
1748923159,70,,Aggregated,18.600000,12.000000,20,39,55,69,110,140,160,200,230,230,230,159,106,20,39.56514991194744,1.6695670001354301,228.83271699993202,1363.9748427672955
1748923160,80,,Aggregated,20.333333,13.333333,20,41,55,71,110,140,160,170,230,230,230,201,129,20,40.01868828358445,1.6695670001354301,228.83271699993202,1522.9452736318408
1748923161,90,,Aggregated,22.000000,14.857143,20,40,57,74,110,140,160,170,230,230,230,248,158,19,39.558759068540894,1.6695670001354301,228.83271699993202,1559.592741935484
1748923162,100,,Aggregated,24.250000,15.625000,18,37,52,65,100,130,160,170,230,230,230,289,191,18,37.06686433563383,1.6695670001354301,228.83271699993202,1563.318339100346
1748923163,100,,Aggregated,26.333333,16.666667,17,34,49,61,94,130,160,170,230,230,230,335,222,17,35.23595386566794,1.6190169999390491,228.83271699993202,1606.289552238806
1748923164,100,,Aggregated,28.100000,18.400000,17,35,49,60,91,130,150,170,230,230,230,376,246,17,34.68538603723128,1.6190169999390491,228.83271699993202,1543.5398936170213
1748923165,100,,Aggregated,30.700000,19.800000,16,32,47,55,87,120,150,160,230,230,230,411,271,16,33.093706751821614,1.6190169999390491,228.83271699993202,1587.1216545012167
1748923166,100,,Aggregated,33.500000,21.800000,17,35,52,62,99,140,170,200,240,240,240,451,289,17,36.95071286696507,1.6190169999390491,242.19296400042367,1575.9578713968958
1748923167,100,,Aggregated,35.200000,22.700000,16,35,49,60,98,140,170,200,240,240,240,487,310,16,36.248292694051614,1.6190169999390491,242.19296400042367,1512.7351129363449
1748923168,100,,Aggregated,36.700000,23.800000,16,34,49,61,98,140,170,200,240,240,240,525,332,16,36.206737224763074,1.6190169999390491,242.19296400042367,1531.8038095238096
1748923169,100,,Aggregated,38.000000,24.100000,16,32,48,57,93,140,170,200,240,240,240,572,364,16,34.752434479021794,1.6190169999390491,242.19296400042367,1450.8339160839162
1748923170,100,,Aggregated,38.800000,24.500000,15,30,44,54,90,130,170,200,240,240,240,617,400,15,33.183348440843105,1.6190169999390491,242.19296400042367,1462.6320907617503
1748923171,100,,Aggregated,40.600000,25.200000,15,31,44,54,93,140,170,200,240,240,240,651,420,15,33.9368614485411,1.6190169999390491,242.19296400042367,1474.1935483870968
1748923172,100,,Aggregated,40.600000,26.000000,14,30,42,52,91,130,170,200,240,240,240,682,443,13,33.033355901759215,1.6190169999390491,242.19296400042367,1487.2199413489736
1748923173,100,,Aggregated,39.700000,26.300000,13,30,41,52,90,130,170,200,240,240,240,723,473,13,32.3468084633448,1.6190169999390491,242.19296400042367,1494.2060857538036
1748923174,100,,Aggregated,38.400000,24.700000,13,30,42,52,90,130,170,200,240,240,240,771,500,13,32.33058240985163,1.6190169999390491,242.19296400042367,1524.2204928664073
1748923175,100,,Aggregated,38.700000,25.500000,13,29,40,52,90,130,170,200,240,240,240,799,520,13,31.681889055059795,1.6190169999390491,242.19296400042367,1596.4605757196496
1748923176,100,,Aggregated,39.000000,25.100000,13,29,39,49,87,130,160,200,240,240,240,846,553,12,31.044500014173217,1.6190169999390491,242.19296400042367,1576.6843971631206
1748923177,100,,Aggregated,39.700000,25.600000,12,29,39,49,85,120,160,200,240,240,240,881,575,12,30.653915766160356,1.6190169999390491,242.19296400042367,1613.5130533484676
1748923178,100,,Aggregated,39.600000,25.800000,13,29,39,49,85,120,160,180,240,240,240,922,601,13,30.421426828620685,1.6190169999390491,242.19296400042367,1588.5195227765726
1748923179,100,,Aggregated,39.800000,26.800000,13,29,40,49,85,120,160,180,240,240,240,963,627,13,30.67249177257128,1.6190169999390491,242.19296400042367,1564.7559709241953
1748923180,100,,Aggregated,39.400000,26.600000,12,28,38,49,85,120,160,180,230,240,240,1010,659,12,30.02327488810455,1.6190169999390491,242.19296400042367,1635.528712871287
1748923181,100,,Aggregated,38.400000,25.600000,12,28,37,48,84,120,160,180,230,240,240,1039,681,12,29.559862298352225,1.6190169999390491,242.19296400042367,1643.6929740134744
1748923182,100,,Aggregated,39.300000,26.100000,12,27,37,47,82,120,160,180,230,240,240,1078,710,12,29.16971036826312,1.6190169999390491,242.19296400042367,1627.0027829313544
1748923183,100,,Aggregated,39.200000,25.900000,12,27,36,46,80,110,150,180,230,240,240,1119,735,12,28.759461178725246,1.6190169999390491,242.19296400042367,1611.390527256479
1748923184,100,,Aggregated,39.500000,26.800000,12,26,35,45,77,110,150,180,230,240,240,1157,766,12,28.345390594638715,1.6190169999390491,242.19296400042367,1584.381158167675
1748923185,100,,Aggregated,39.000000,25.800000,12,27,35,45,77,110,150,180,230,240,240,1195,790,12,28.216836455229966,1.6190169999390491,242.19296400042367,1586.8058577405857
1748923186,100,,Aggregated,38.800000,26.300000,12,26,35,45,77,110,150,180,230,240,240,1233,818,12,28.120799272508243,1.6190169999390491,242.19296400042367,1578.6747769667477
1748923187,100,,Aggregated,38.000000,26.200000,12,25,35,45,77,110,150,180,230,240,240,1269,842,12,28.03882663908909,1.6190169999390491,242.19296400042367,1617.779353821907
1748923188,100,,Aggregated,38.800000,26.500000,11,25,35,44,75,110,150,180,230,240,240,1321,878,11,27.67723813701831,1.6190169999390491,242.19296400042367,1608.9848599545799
1748923189,100,,Aggregated,38.400000,26.100000,11,25,35,44,75,110,140,180,230,240,240,1355,899,11,27.43901529077639,1.6190169999390491,242.19296400042367,1624.3143911439115
1748923190,100,,Aggregated,39.300000,26.700000,11,25,34,44,74,110,140,180,230,240,240,1394,926,11,27.299116285511428,1.6190169999390491,242.19296400042367,1605.4476327116213
1748923191,100,,Aggregated,39.800000,28.100000,11,24,34,43,74,100,140,170,230,240,240,1426,952,11,26.996066767182967,1.6190169999390491,242.19296400042367,1597.0448807854139
1748923192,100,,Aggregated,38.700000,26.700000,11,24,34,43,74,100,140,170,230,240,240,1474,983,11,26.942636749664246,1.6190169999390491,242.19296400042367,1617.4111261872456
1748923193,100,,Aggregated,38.400000,26.900000,11,24,34,44,75,110,140,170,230,240,240,1515,1006,11,27.332633570298484,1.6190169999390491,242.19296400042367,1607.6917491749175
1748923194,100,,Aggregated,39.100000,26.800000,11,24,34,44,75,110,140,170,230,240,240,1545,1029,11,27.265072018123078,1.6190169999390491,242.19296400042367,1596.1009708737863
1748923195,100,,Aggregated,39.600000,27.300000,11,25,35,45,76,110,140,170,230,240,240,1589,1056,11,27.64506139899455,1.6190169999390491,242.19296400042367,1578.032724984267
